Identificador;Producto;Vendedor;Cantidad;Ubicación;Categoria;Procentaje de Ganancia
1;Eldon Base for stackable storage shelf, platinum;Muhammed MacIntyre;3;Nunavut;Storage & Organization;0.8
2;"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";Barry French;293;Nunavut;Appliances;0.58
3;Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl;Barry French;293;Nunavut;Binders and Binder Accessories;0.39
4;R380;Clay Rozendal;483;Nunavut;Telephones and Communication;0.58
5;Holmes HEPA Air Purifier;Carlos Soltero;515;Nunavut;Appliances;0.5
6;G.E. Longer-Life Indoor Recessed Floodlight Bulbs;Carlos Soltero;515;Nunavut;Office Furnishings;0.37
7;Angle-D Binders with Locking Rings, Label Holders;Carl Jackson;613;Nunavut;Binders and Binder Accessories;0.38
8;SAFCO Mobile Desk Side File, Wire Frame;Carl Jackson;613;Nunavut;Storage & Organization;
9;SAFCO Commercial Wire Shelving, Black;Monica Federle;643;Nunavut;Storage & Organization;
10;Xerox 198;Dorothy Badders;678;Nunavut;Paper;0.38
11;Xerox 1980;Neola Schneider;807;Nunavut;Paper;0.4
12;Advantus Map Pennant Flags and Round Head Tacks;Neola Schneider;807;Nunavut;Rubber Bands;0.53
13;Holmes HEPA Air Purifier;Carlos Daly;868;Nunavut;Appliances;0.5
14;DS/HD IBM Formatted Diskettes, 200/Pack - Staples;Carlos Daly;868;Nunavut;Computer Peripherals;0.71
15;"Wilson Jones 1"" Hanging DublLock® Ring Binders";Claudia Miner;933;Nunavut;Binders and Binder Accessories;0.37
16;Ultra Commercial Grade Dual Valve Door Closer;Neola Schneider;995;Nunavut;Office Furnishings;0.53
17;"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes";Allen Rosenblatt;998;Nunavut;Envelopes;0.4
18;Hon 4-Shelf Metal Bookcases;Sylvia Foulston;1154;Nunavut;Bookcases;0.6
19;Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table;Sylvia Foulston;1154;Nunavut;Tables;0.68
20;g520;Jim Radford;1344;Nunavut;Telephones and Communication;0.59
21;LX 788;Jim Radford;1344;Nunavut;Telephones and Communication;0.58
22;Avery 52;Carlos Soltero;1412;Nunavut;Labels;0.38
23;Plymouth Boxed Rubber Bands by Plymouth;Carlos Soltero;1412;Nunavut;Rubber Bands;0.8
24;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""";Carl Ludwig;1539;Nunavut;Binders and Binder Accessories;0.37
25;"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack";Carl Ludwig;1539;Nunavut;Computer Peripherals;0.66
26;Newell 335;Don Miller;1540;Nunavut;Pens & Art Supplies;0.56
